SongID,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,YouTube URL
4180,0K6yUnIKNsFtfIpTgGtcHm,Rush,Moving Pictures (2011 Remaster),Limelight,67,259839,False,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,4,hard-rock,https://www.youtube.com/watch?v=ZiRuj2_czzw&pp=ygUjUnVzaCBMaW1lbGlnaHQgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4181,4f3RDq9nYPBeR1yMSgnmBm,Judas Priest,Screaming For Vengeance (Expanded Edition),You've Got Another Thing Coming,67,310080,False,0.519,0.833,6,-6.947,0,0.0496,0.00572,4.33e-06,0.104,0.532,138.225,4,hard-rock,https://www.youtube.com/watch?v=coA75uoMF40&pp=ygVBSnVkYXMgUHJpZXN0IFlvdSd2ZSBHb3QgQW5vdGhlciBUaGluZyBDb21pbmcgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4182,4iya38ctQ1httyA6NOG9oW,Greta Van Fleet,The Battle at Garden’s Gate,Light My Love,67,270887,False,0.374,0.778,5,-4.466,1,0.0363,0.1,0.199,0.107,0.484,133.85,3,hard-rock,https://www.youtube.com/watch?v=IWqTQAVfE-U&pp=ygUyR3JldGEgVmFuIEZsZWV0IExpZ2h0IE15IExvdmUgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4183,1BvJmtaXsqtH438BcDPeBb,Elton John,Don't Shoot Me I'm Only The Piano Player,Daniel,67,234666,False,0.688,0.477,0,-11.945,1,0.029,0.38,4.93e-05,0.0864,0.897,132.071,4,piano,https://www.youtube.com/watch?v=0f0TMfQNRk8&pp=ygUmRWx0b24gSm9obiBEYW5pZWwgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4184,2eRmD96ncTEgQwJmXa6rrg,Womack & Womack,80s Soul (International Version),Teardrops,67,228573,False,0.872,0.715,11,-10.182,1,0.0468,0.0876,0.0706,0.177,0.967,133.225,4,disco,https://www.youtube.com/watch?v=B9lg8Dmhg4I&pp=ygUHV29tYWNrIA%3D%3D
4185,4iwjEJYExvmBM5w75RTuLv,Chri$tian Gate$,Dangerous State of Mind,Dangerous State of Mind,67,115620,True,0.697,0.874,3,-4.045,0,0.0992,0.0563,0.0,0.103,0.712,150.047,4,sad,https://www.youtube.com/watch?v=gZSci2GxcV0&pp=ygU8Q2hyaSR0aWFuIEdhdGUkIERhbmdlcm91cyBTdGF0ZSBvZiBNaW5kIG9mZmljaWFsIG11c2ljIHZpZGVv
4186,2BydLQAh7CUIFvSEqAMc4x,Sly & The Family Stone,Fresh,If You Want Me to Stay,67,180493,False,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,4,psych-rock,https://www.youtube.com/watch?v=_FMulgkArnw&pp=ygUEU2x5IA%3D%3D
4187,6h3lMAmmpQDFqoHk9F99IR,Bea Miller,aurora,S.L.U.T.,67,179146,False,0.722,0.773,5,-4.378,0,0.0792,0.0598,0.0,0.179,0.724,94.997,4,alt-rock,https://www.youtube.com/watch?v=uGjCUY59B_0&pp=ygUoQmVhIE1pbGxlciBTLkwuVS5ULiBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4188,4xmkpE1Si5JL7NFxWrhV0S,Sachet Tandon;The Fusion Project,"Humraah (From ""Malang - Unleash The Madness"")","Humraah (From ""Malang - Unleash The Madness"")",67,299821,False,0.468,0.854,11,-3.932,0,0.059,0.176,0.0,0.126,0.277,155.867,4,pop,https://www.youtube.com/watch?v=hJBHSmyqv0Y&pp=ygVjU2FjaGV0IFRhbmRvbjtUaGUgRnVzaW9uIFByb2plY3QgSHVtcmFhaCAoRnJvbSAiTWFsYW5nIC0gVW5sZWFzaCBUaGUgTWFkbmVzcyIpIG9mZmljaWFsIG11c2ljIHZpZGVv
4189,2KvbRojbZGMsWr1Nuj5n2f,Jakob;Clairo,Bedroom Tapes,You Might Be Sleeping,67,147093,False,0.587,0.565,7,-9.249,1,0.0265,0.731,0.341,0.169,0.508,92.604,4,garage,https://www.youtube.com/watch?v=LSL59cd3m9A&pp=ygU3SmFrb2I7Q2xhaXJvIFlvdSBNaWdodCBCZSBTbGVlcGluZyBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
